,name,location,type,adname,address
42,汕头市伊家汤药品有限公司,"116.721167,23.388842",公司企业;公司;医药公司,金平区,天山北路3号雅仕园1栋
43,汕头市医用设备厂有限公司,"116.70511,23.371575",公司企业;公司;医药公司,金平区,东厦路80号
44,广东康百乐医药科技有限公司,"116.664265,23.390366",公司企业;公司;医药公司,金平区,金升二路5号万盼工业楼6层
45,广东太安堂药业股份有限公司,"116.681426,23.400162",公司企业;公司;医药公司,金平区,揭阳路与金发三路交叉口北80米
46,康信药业,"116.664468,23.39044",公司企业;公司;医药公司,金平区,鮀莲街道金升二路5号万盼工业楼
47,广东鼎铭药业有限公司,"116.685139,23.396999",公司企业;公司;医药公司,金平区,潮汕路147号之二歧山中学公交站旁
48,汕头市蓉健药业有限公司,"116.704132,23.353644",公司企业;公司;医药公司,金平区,渔港路与渔港西路交叉口东南120米
49,润和生物医药科技有限公司,"116.639144,23.407311",公司企业;公司;医药公司,金平区,
50,汕头市金利发医疗器械有限公司,"116.696312,23.409463",公司企业;公司;医药公司,金平区,赤窖村池田三横巷5号
51,汕头市龙华医药包装实业有限公司,"116.696150,23.400358",公司企业;公司;医药公司,金平区,马西北二街3号
52,汕头市新侨药用防粘纸科技有限公司,"116.641208,23.40678",公司企业;公司;医药公司,金平区,大学路290号
53,华尔怡医疗器械有限公司,"116.687337,23.399152",公司企业;公司;医药公司,金平区,金环北路岐山中学路段
54,盈信药业(汕头)有限公司,"116.708444,23.289361",公司企业;公司;医药公司,濠江区,磊广大道
55,卫伦生物,"116.69369,23.288711",公司企业;公司;医药公司,濠江区,礐石街道珠浦工业区
56,广东健信制药有限公司,"116.684225,23.299034",公司企业;公司;医药公司,濠江区,珠浦工业区
57,洛斯特制药有限公司,"116.775177,23.261119",公司企业;公司;医药公司,濠江区,洛斯特大道
58,汕头松田制药有限公司,"116.572308,23.254100",公司企业;公司;医药公司,潮阳区,福昆线西丽园汽车客运站西南侧约160米
59,汕头市君明药业有限公司,"116.594691,23.256440",公司企业;公司;医药公司,潮阳区,文光棉新大道中段223-225号5层
60,广东鸿洋中药饮片有限公司,"116.614317,23.242735",公司企业;公司;医药公司,潮阳区,城南街道沧州工业区2幢
61,广东浪沙口腔健康有限公司,"116.403484,23.269531",公司企业;公司;医药公司,潮南区,仙港向阳路3号
62,济安堂医药,"116.330347,23.266494",公司企业;公司;医药公司,潮南区,陈店镇陈厝围中兴路7号
63,澄海市医药管理局,"116.777220,23.460943",政府机构及社会团体;政府机关;区县级政府及事业单位|公司企业;公司;医药公司,澄海区,文祠东路273号
64,澄海区药材公司,"116.771447,23.475151",公司企业;公司;医药公司,澄海区,中山北路
65,澄海区药材公司,"116.777114,23.460855",公司企业;公司;医药公司,澄海区,文祠东路273号
66,汕头市时代制药有限公司,"116.771978,23.473837",公司企业;公司;医药公司,澄海区,中山北路86号
