,name,location,type,adname,address
17,正奕建设,"116.771704,23.345835",公司企业;公司;建筑公司,龙湖区,御海阳光花园北区101号商铺
18,椒图建筑,"116.785463,23.374191",公司企业;公司;建筑公司,龙湖区,新海街道十一合乡四围北路南五巷三号
19,建设集团(黄河路),"116.718499,23.381181",公司企业;公司;建筑公司,龙湖区,金霞街道黄河路17号
20,汕头市汕龙建设有限公司,"116.732975,23.389640",公司企业;公司;建筑公司,龙湖区,浦江路南16号B栋7楼
21,汕头市和跃科技有限公司,"116.772888,23.374905",公司企业;公司;建筑公司,龙湖区,广东省汕头市龙湖区新溪镇西南村下十合陇尾4巷12号
22,金湖建筑有限公司,"116.723125,23.371971",公司企业;公司;建筑公司,龙湖区,龙湖北路龙湖新村8栋2楼
23,广东汕坤电力,"116.754190,23.376172",公司企业;公司;建筑公司,龙湖区,站前南路B13号
24,汕头市长盛公司,"116.797443,23.390557",公司企业;公司;建筑公司,龙湖区,东升村大十合
25,金湖建筑公司,"116.755755,23.445280",公司企业;公司;建筑公司,龙湖区,324国道西150米
26,千秋健建筑,"116.787464,23.386700",公司企业;公司;建筑公司,龙湖区,金鸿大道六份小学东北侧约290米
27,正宏建筑装饰工程有限公司,"116.765247,23.355562",公司企业;公司;建筑公司,龙湖区,珠池街道永安社区南安街一巷14号
28,汕头市东建混凝土有限公司,"116.743599,23.432310",公司企业;公司;建筑公司,龙湖区,外砂街道乐阳西路外砂收费站东北200米
29,广东中祥建设工程有限公司,"116.760073,23.366880",公司企业;公司;建筑公司,龙湖区,内充公南宁街二巷45号301
30,广东集木建筑劳务有限公司,"116.724184,23.437365",公司企业;公司;建筑公司,龙湖区,鸥汀街道蔡社东丰二三片之一
31,广东丰泰盛建筑工程有限公司,"116.725785,23.380953",公司企业;公司;建筑公司,龙湖区,黄河路万商大厦3栋708单元
32,深圳市环诚建设工程有限公司,"116.752061,23.361867",公司企业;公司;建筑公司,龙湖区,长平东路龙光阳光海岸
33,顺风建筑规划设计汕头分公司,"116.725380,23.381990",公司企业;公司;建筑公司,龙湖区,黄河路42号万商大厦一座西梯13楼1307-1308室
34,汕头市和璞建筑工程有限公司,"116.746799,23.372300",公司企业;公司;建筑公司,龙湖区,珠池路63号701房之二
35,汕头市创泽建筑工程有限公司,"116.793470,23.394047",公司企业;公司;建筑公司,龙湖区,新海街道东南村长兴路
36,汕头达安金鸿建筑咨询有限公司,"116.724214,23.383947",公司企业;公司;建筑公司,龙湖区,天山南路美仑大厦东梯6楼606
37,广东联丰建设实业有限公司,"116.740324,23.400044",公司企业;公司;建筑公司,龙湖区,泰山中路109号附近
38,汕头市广泰建筑有限公司办事处,"116.752221,23.361892",公司企业;公司;建筑公司,龙湖区,长平东路与丰泰东街交叉口西60米
39,广东省电白建筑集团有限公司,"116.731953,23.371269",公司企业;公司;建筑公司,龙湖区,衡山路20号
40,广东天天建设有限公司汕头分公司,"116.763656,23.366000",公司企业;公司;建筑公司,龙湖区,珠池街道南片工业区A10
41,汕头市五山建筑材料有限公司,"116.723289,23.403657",公司企业;公司;建筑公司,龙湖区,龙祥街道如龙居委嵩山路与东厦北路交界
42,汕头市泽宇建筑劳务有限公司,"116.756815,23.363707",公司企业;公司;建筑公司,龙湖区,中河街28号阳光雅轩楼下
43,汕头市锦烁装饰工程有限公司,"116.753764,23.375776",公司企业;公司;建筑公司,龙湖区,珠业南街与泰山南路交叉路口往东约100米
44,广东中广汇建设投资有限公司,"116.754709,23.376769",公司企业;公司;建筑公司,龙湖区,南方商贸广场B区236号(泰山路客运中心正后方)
45,广东顺隆机电设备安装工程有限公司,"116.774132,23.369412",公司企业;公司;建筑公司,龙湖区,新海街道西南村南兴园19巷7号
46,汕头携众建筑工程咨询有限公司,"116.720902,23.379297",公司企业;公司;建筑公司,龙湖区,大南山路14号K3二层东之一
47,汕头市金新建筑工程公司综合处,"116.716308,23.368584",公司企业;公司;建筑公司,龙湖区,迎宾路4号建设大厦5层
48,汕头市市政工程总公司第四公司,"116.727092,23.371504",公司企业;公司;建筑公司,龙湖区,天山路27号奋达大厦
49,汕头市大立工程咨询有限公司,"116.738590,23.368560",公司企业;公司;建筑公司,龙湖区,嵩山路珠池大厦7层
50,广东中房工程造价事务所有限公司(汕头分公司),"116.714911,23.373358",公司企业;公司;建筑公司,龙湖区,大北山路3号财审大楼
51,广东骏隆消防工程有限公司,"116.727395,23.365758",公司企业;公司;建筑公司,龙湖区,朝阳庄奋发园主楼2801号房
52,汕头市君悦地产有限公司,"116.724422,23.383789",公司企业;公司;建筑公司|生活服务;中介机构;中介机构,龙湖区,天山路65号衡山庄蓬勃花园28幢
53,梅州市市政建设总公司汕头项目部,"116.718299,23.367948",公司企业;公司;建筑公司,龙湖区,榕江路4号金华大厦12层
54,汕头市建筑工程总公司,"116.694171,23.358675",公司企业;公司;建筑公司,金平区,中山路62号
55,广东省第二建筑工程有限公司,"116.692147,23.358679",公司企业;公司;建筑公司,金平区,中山路54号
56,汕头市金海建筑总公司,"116.696397,23.378009",公司企业;公司;建筑公司,金平区,汕樟路127号2楼
57,南源建筑公司,"116.712222,23.373762",公司企业;公司;建筑公司,金平区,水仙园25栋
58,汕头市路桥建设总公司,"116.700789,23.367597",公司企业;公司;建筑公司,金平区,金新路50号
59,中环建设监理,"116.715481,23.358107",公司企业;公司;建筑公司,金平区,金环路6号中环大厦5层
60,汕头市住宅建筑工程公司,"116.701284,23.361886",公司企业;公司;建筑公司,金平区,长平路26号
61,金东建筑公司,"116.713954,23.396685",公司企业;公司;建筑公司,金平区,金新北路广厦青蓝幼儿园东北侧
62,汕头市第五建安总公司,"116.672675,23.383425",公司企业;公司;建筑公司,金平区,大学路36号
63,汕头市粤建工程造价咨询有限公司,"116.715698,23.357313",公司企业;公司;建筑公司,金平区,中山路213号汕头市建委大楼
64,鮀岛建筑公司,"116.678516,23.372405",公司企业;公司;建筑公司,金平区,光华路101号
65,佑松房地产开发有限公司,"116.684934,23.354644",公司企业;公司;建筑公司,金平区,博爱路5号广场花园1栋
66,中美建筑设计院有限公司汕头分公司,"116.715698,23.357313",公司企业;公司;建筑公司,金平区,中山路213号汕头市建委大楼
67,盈通建设,"116.648920,23.407114",公司企业;公司;建筑公司,金平区,大学路235号洪运车行隔壁停车场内
68,衍宇建筑设计,"116.703575,23.391967",公司企业;公司;建筑公司,金平区,华山北路与汕樟路交叉口东南160米
69,诚致建筑,"116.717459,23.401038",公司企业;公司;建筑公司,金平区,乐山路与金新北路交叉口东南140米
70,广东省二建公司第十五工程处,"116.690967,23.369366",公司企业;公司;建筑公司,金平区,大华路97号6座
71,汕头同平建设(集团)公司,"116.675038,23.362818",公司企业;公司;建筑公司,金平区,乌桥街道乌桥街道二马路247号
72,汕头市第四建设总公司,"116.715574,23.362327",公司企业;公司;建筑公司,金平区,长平路93华乾大厦
73,达濠市政建设有限公司,"116.620629,23.372137",公司企业;公司;建筑公司,金平区,鮀济南路好家具对面
74,广东科能建筑设计有限公司,"116.680760,23.352391",公司企业;公司;建筑公司,金平区,跃进路23号利鸿基中心大厦B座2楼
75,汕头市昇平区蓬洲建筑公司,"116.653466,23.410083",公司企业;公司;建筑公司,金平区,蓬洲学校路与庵曲公路交叉口北20米
76,汕头市驰兴越建设有限公司,"116.655698,23.395913",公司企业;公司;建筑公司,金平区,驰兴越建越有限公司
77,汕头崇泰建筑工程有限公司,"116.654632,23.399655",公司企业;公司;建筑公司,金平区,大学路184号
78,汕头市鮀岛建筑有限公司,"116.678514,23.372507",公司企业;公司;建筑公司,金平区,光华路太安医院东侧
79,汕头市科捷建筑工程有限公司,"116.672236,23.351151",公司企业;公司;建筑公司,金平区,至平路57号三楼
80,广东省第二建筑工程公司第六工程处,"116.676863,23.362288",公司企业;公司;建筑公司,金平区,北海旁路1号A座
81,汕头市恒博科技工程有限公司,"116.670475,23.364943",公司企业;公司;建筑公司,金平区,光华路22号
82,江西赣南地质工程院汕头分院,"116.658800,23.395892",公司企业;公司;建筑公司,金平区,大学路与金环西路交叉口大丰商务楼2楼205号
83,汕头市凯阳建设工程有限公司,"116.663523,23.397395",公司企业;公司;建筑公司,金平区,升业路18号大家来创业园4层402
84,梅州市敏捷建筑工程有限公司,"116.680297,23.378816",公司企业;公司;建筑公司,金平区,潮汕路与竹堤路交叉口南220米
85,汕头市金韩建筑工程有限公司,"116.687431,23.409838",公司企业;公司;建筑公司,金平区,揭东路龙光尚悦轩
86,广东嘉键建设有限公司汕头分公司,"116.711290,23.371995",公司企业;公司;建筑公司,金平区,金东街道玫瑰园2栋105号
87,汕头市同平粮油食品公司,"116.672492,23.355368",公司企业;公司;建筑公司,金平区,杉排路42号01夹层
88,汕头市达濠建筑总公司(中山中路),"116.715619,23.356477",公司企业;公司;建筑公司,金平区,中山路148号金源大厦10层
89,信华,"116.651387,23.404271",公司企业;公司;建筑公司,金平区,大学路209号6楼
90,汕头市河浦建筑总公司,"116.663362,23.272430",公司企业;公司;建筑公司,濠江区,河浦大道
91,广东龙辉达建设有限公司,"116.695402,23.288300",公司企业;公司;建筑公司,濠江区,葛陈居委珠莘边路10号
92,豪江建设,"116.722639,23.284483",公司企业;公司;建筑公司,濠江区,府前路中段和记综合楼1703号房
93,汕头市启泰建筑工程有限公司,"116.775942,23.243476",公司企业;公司;建筑公司,濠江区,保税区创业中心4楼401
94,汕头市信远劳务有限公司,"116.680224,23.248164",公司企业;公司;建筑公司,濠江区,五一村河浦大道旁12号
95,广东永力建筑劳务分包有限公司,"116.718405,23.280954",公司企业;公司;建筑公司,濠江区,达南路与西园新路交叉口南200米
96,中敏建设工程有限公司汕头分公司,"116.768570,23.249012",公司企业;公司;建筑公司,濠江区,广达大道三寮幼儿园东北侧约220米
97,广东和协建设工程检测有限公司汕头分公司,"116.701160,23.290026",公司企业;公司;建筑公司,濠江区,礐石街道葛陈路口府前路嘉民工业园西座一楼
98,广东铭信工程项目管理有限公司汕头分公司,"116.720759,23.268292",公司企业;公司;建筑公司,濠江区,马窖街道达南路95号恒大金碧御景湾影城2栋136单元2楼
99,汕头市潮阳建筑工程总公司,"116.605365,23.275158",公司企业;公司;建筑公司,潮阳区,东山大道北187号汕潮大厦
100,广东宏茂建设管理有限公司,"116.592818,23.262766",公司企业;公司;建筑公司,潮阳区,石珠园E区三横路8号
101,汕头市潮阳第三建筑总公司,"116.595442,23.259325",公司企业;公司;建筑公司,潮阳区,文光街道棉城棉西路66号
102,广东省二建潮阳公司,"116.606009,23.270708",公司企业;公司;建筑公司,潮阳区,上华十巷6号
103,汕潮三建,"116.595500,23.259265",公司企业;公司;建筑公司,潮阳区,棉西路66号
104,汕头市弘飞建筑机械有限公司,"116.502805,23.404986",公司企业;公司;建筑公司|购物服务;专卖店;专营店,潮阳区,西凤村大路南中学旁
105,广东顺通建设有限公司,"116.593105,23.263855",公司企业;公司;建筑公司,潮阳区,棉城石珠园e区1-4栋首层
106,广东新潮建设有限公司,"116.593002,23.263033",公司企业;公司;建筑公司,潮阳区,石珠园e区5-8幢
107,旭峰装饰工程有限公司,"116.580234,23.256562",公司企业;公司;建筑公司,潮阳区,文光街道西丽园三栋二号思祖路旭峰装饰工程有限公司
108,广东晟润建设有限公司,"116.605214,23.276385",公司企业;公司;建筑公司,潮阳区,城北五路与东山大道交叉口东北80米
109,广东冠翔建设有限公司,"116.606042,23.274202",公司企业;公司;建筑公司,潮阳区,棉北街道平北和乐园B栋101号
110,海西工程,"116.507896,23.403318",公司企业;公司;建筑公司,潮阳区,路南楼区7号
111,朝垣建设工程有限公司,"116.526114,23.259697",公司企业;公司;建筑公司,潮阳区,广东省汕头市潮阳区金浦街道梅西鲤鱼尾
112,潮阳一建公司,"116.588030,23.257372",公司企业;公司;建筑公司,潮阳区,恒宇大厦2号楼九层
113,广东承筑建筑有限公司,"116.624214,23.214399",公司企业;公司;建筑公司,潮阳区,G15沈海高速g228号
114,广东聚丰美建设有限公司,"116.605647,23.276210",公司企业;公司;建筑公司,潮阳区,城北五路与东山大道交叉口东100米
115,广东泰乙成建筑有限公司,"116.596083,23.276378",公司企业;公司;建筑公司,潮阳区,棉北街道平南工业区路口3号
116,汕头市连坚建设有限公司,"116.477640,23.267689",公司企业;公司;建筑公司,潮阳区,和平镇和铺东路广东连坚集团工业区
117,汕头市通盛建筑有限公司,"116.535829,23.258788",公司企业;公司;建筑公司,潮阳区,梅园路第5单元
118,汕头市潮阳第二建筑总公司,"116.607372,23.263463",公司企业;公司;建筑公司,潮阳区,东山大道中112号
119,广东中一建设工程有限公司,"116.609412,23.266673",公司企业;公司;建筑公司,潮阳区,棉北衔道城北一路丹华花园西向7号铺面
120,潮阳四建,"116.593253,23.245531",公司企业;公司;建筑公司,潮阳区,棉新大道美段南三栋
121,汕头市小筑建设有限公司,"116.609431,23.266901",公司企业;公司;建筑公司,潮阳区,北丹路丹华花园
122,中铁八局,"116.467096,23.280070",公司企业;公司;建筑公司,潮阳区,S237潮阳和平练北卫生站东北侧
123,昭波装饰,"116.474993,23.231904",公司企业;公司;建筑公司,潮阳区,和平镇新和惠路里美路段4号
124,深圳市嘉盛建筑工程有限公司,"116.633840,23.208521",公司企业;公司;建筑公司,潮阳区,新华路与228国道交叉口北360米
125,汕头市宏典建筑劳务有限公司,"116.650082,23.205460",公司企业;公司;建筑公司,潮阳区,海门镇
126,汕头市海展建筑工程有限公司,"116.493755,23.202056",公司企业;公司;建筑公司,潮阳区,成田镇东盐学校西3巷5号
127,广东凌泰建设有限公司(潮阳分公司),"116.588694,23.260859",公司企业;公司;建筑公司,潮阳区,城西一路
128,广东品峰建设工程有限公司汕头分公司,"116.605318,23.276162",公司企业;公司;建筑公司,潮阳区,棉北街道城北五路成德花园第六栋115号铺之一
129,杰邦建筑工程有限公司汕头市分公司,"116.497728,23.221348",公司企业;公司;建筑公司,潮阳区,
130,汕头市潮阳区关埠海涛货物装卸服务部,"116.463571,23.440372",公司企业;公司;建筑公司,潮阳区,关埠镇沿堤路卫生院前
131,广东莱烨建设工程有限公司(汕头分公司),"116.591294,23.252376",公司企业;公司;建筑公司,潮阳区,文光街道双望西洋宫东384号南面2号铺
132,广东莱烨建设工程有限公司潮阳第一分公司,"116.469563,23.245122",公司企业;公司;建筑公司,潮阳区,朝阳区和平善兴路98号2铺
133,中交路桥建设有限公司潮汕环县高速第14标项目经理部,"116.590711,23.301955",公司企业;公司;建筑公司,潮阳区,潮揭路
134,华域建设,"116.313125,23.273118",公司企业;公司;建筑公司,潮南区,沟湖陈店文化传媒有限公司10楼
135,华晟建设,"116.434997,23.242106",公司企业;公司;建筑公司,潮南区,广汕公路281号峡山邮政大楼
136,汕头市友泰工程建筑有限公司,"116.569895,23.201160",公司企业;公司;建筑公司,潮南区,井都镇凤光村凤光小学路口
137,汕头市溢恺建筑工程有限公司,"116.520752,23.136356",公司企业;公司;建筑公司,潮南区,井田公路与和惠公路交叉口东320米
138,汕头市诺鑫建筑装饰工程有限公司,"116.409135,23.252417",公司企业;公司;建筑公司,潮南区,峡山街道洋林桂园巷
139,广东创雅建设有限公司汕头分公司,"116.408044,23.251822",公司企业;公司;建筑公司,潮南区,汕头市潮南区嘉盛商贸城28幢04号楼401
140,新希望建筑劳务有限公司汕头办事处,"116.379139,23.262336",公司企业;公司;建筑公司,潮南区,港口路与西畔新厝十一巷交叉口南460米
141,广东长达建筑消防工程有限公司(陇田公司),"116.528825,23.124523",公司企业;公司;建筑公司,潮南区,陇田镇田三和惠公路东
142,广东博原建设工程有限公司项目部峡山大溪碧道工程项目,"116.451915,23.262360",公司企业;公司;建筑公司,潮南区,北环大道与朝晖路交叉口西北420米
143,广东长达建筑消防工程有限公司(潮南公司),"116.412077,23.242153",公司企业;公司;建筑公司,潮南区,金光南路65号
144,汕头市新光建设工程有限公司,"116.776345,23.464682",公司企业;公司;建筑公司|购物服务;家居建材市场;建材五金市场,澄海区,谷饶镇环城东路56号
145,建方装饰,"116.760835,23.462051",公司企业;公司;建筑公司,澄海区,金冠园2栋302
146,亿兆瓷砖(新店),"116.810997,23.549257",公司企业;公司;商业贸易|公司企业;公司;建筑公司|购物服务;家居建材市场;建材五金市场,澄海区,国道324侨联大厦亿兆瓷砖
147,天易古建筑,"116.774759,23.471480",公司企业;公司;建筑公司,澄海区,广益街道美新西一路与美新区一巷交界处
148,山里建筑,"116.745220,23.473463",公司企业;公司;建筑公司,澄海区,怀汉路尚尚格小筑7楼
149,中龙建设,"116.769502,23.473615",公司企业;公司;建筑公司,澄海区,振兴工业区61号
150,广东省创雅建设有限公司,"116.810192,23.537545",公司企业;公司;建筑公司,澄海区,金南南路
151,汕头市灿鑫建筑有限公司,"116.832466,23.467452",公司企业;公司;建筑公司,澄海区,金鸿公路与金成路交叉口南280米
152,汕头市顺达建筑有限公司,"116.776629,23.458484",公司企业;公司;建筑公司,澄海区,
153,澄轩建设,"116.780347,23.446425",公司企业;公司;建筑公司,澄海区,凤新一路益璟花园14号铺面
154,广东讯源建筑工程有限公司,"116.730808,23.469457",公司企业;公司;建筑公司,澄海区,文华南路凯荣门窗系统东南侧约240米
155,和氏建筑装饰工程有限公司,"116.762535,23.449442",公司企业;公司;建筑公司,澄海区,碧榕苑(红头船公园东南100米)
156,港口建筑总公司广益工程处,"116.775570,23.473249",公司企业;公司;建筑公司,澄海区,美新路超智星大厦南侧约140米
157,港口建筑总公司十二工程队,"116.793294,23.456145",公司企业;公司;建筑公司,澄海区,凤新二路与信兴南二直路交叉路口西侧
158,汕头海逸建筑工程有限公司,"116.770571,23.465623",公司企业;公司;建筑公司,澄海区,北门直街与文化路交叉口东北40米
159,广东嵘博建筑工程有限公司,"116.760827,23.468629",公司企业;公司;建筑公司,澄海区,协和大厦1层
160,中永建筑工程有限公司,"116.760619,23.454495",公司企业;公司;建筑公司,澄海区,国道皇室对面
161,汕头市润寰建筑工程有限公司,"116.776502,23.462263",公司企业;公司;建筑公司,澄海区,寺后街迎晖园
162,汕头市泰一建筑工程有限公司,"116.738927,23.470528",公司企业;公司;建筑公司,澄海区,澄华街道下窖怀汉路西11片16号
163,汕头市亿昌建筑劳务有限公司,"116.780420,23.446587",公司企业;公司;建筑公司,澄海区,凤新一路协和工业园西北侧约30米
164,汕头市澄海区埔美建筑有限公司,"116.771771,23.472533",公司企业;公司;建筑公司,澄海区,中山北路直二横
165,港口建筑工程有限公司西门工程处,"116.760206,23.462551",公司企业;公司;建筑公司,澄海区,华泰12路汕头市公安局澄海分局澄华派出所北侧约100米
166,岭亭建筑工程公司莲下工程处,"116.801179,23.473207",公司企业;公司;建筑公司,澄海区,莲南路与汕北大道交叉路口往西北约270米
167,汕头市澄海区第二建筑工程公司,"116.820724,23.555491",公司企业;公司;建筑公司,澄海区,海角7号量贩式KTV(东河路南)
168,北星轻钢房屋旅游别墅国家绿色装配式建筑澄海服务站,"116.796301,23.547113",公司企业;公司;建筑公司,澄海区,
169,汕头市邦泰建设工程,"117.035599,23.416944",公司企业;公司;建筑公司,南澳县,
170,建设工程有限,"117.035322,23.417217",公司企业;公司;建筑公司,南澳县,
